Albedo Texture,Normal Texture
T_Leaf_Shadow_D 	,T_cm_DefaultNormal_a_01_dn 	
T_Leaf_Shadow_D 	,T_cm_DefaultNormal_a_01_dn 	
T_Leaf_Shadow02_ME 	,T_cm_DefaultNormal_a_01_dn 	
T_Leaf_Shadow_D 	,T_cm_DefaultNormal_a_01_dn 	
T_Common_Object_Foliage_dark_D 	,T_cm_DefaultNormal_a_01_dn
Black_D 	,T_cm_DefaultNormal_a_01_dn 	
Black_D,T_cm_DefaultNormal_a_01_dn 	
Black_D 	,T_cm_DefaultNormal_a_01_dn 	
Black_D 	,T_cm_DefaultNormal_a_01_dn 	
Black_D 	,T_cm_DefaultNormal_a_01_dn 	
LV_Common_Tree_A_Root_D_JSA,LV_Common_Tree_A_Root_N_JSA 	
LV_Common_Foliage_A_Weed03_D_JSA 	,T_cm_DefaultNormal_a_01_dn 	
LV_WyvernsValley_Foliage_DesertWeed_D_IJH 	,T_cm_DefaultNormal_a_01_dn 	
LV_WyvernsValley_Foliage_DryBush_D_IJH 	,T_cm_DefaultNormal_a_01_dn 	
T_Arbajungle_Foliage_Lotusleaf01_D 	,T_cm_DefaultNormal_a_01_dn 	
T_Arbajungle_Foliage_Lotusleaf01_D 	,T_cm_DefaultNormal_a_01_dn 	
T_Arbajungle_Foliage_Lotusleaf01_D,T_cm_DefaultNormal_a_01_dn 	
T_Arbajungle_Foliage_Lotusleaf01_D 	,T_cm_DefaultNormal_a_01_dn 	
T_Arbajungle_Tree_SpTree04Bark_D,T_cm_DefaultNormal_a_01_dn 	
T_Arbajungle_Tree_SpTree04Leaf_D 	,T_cm_DefaultNormal_a_01_dn 	
T_Bugara_Forest_Sarracenia_D 	,T_cm_DefaultNormal_a_01_dn 	
T_Bugara_Forest_Sarracenia_D 	,T_cm_DefaultNormal_a_01_dn 	
T_Bugara_Forest_Sarracenia_D 	,T_cm_DefaultNormal_a_01_dn 	
LV_Floreen_Foliage_Lotus01_D_NWCNIK 	,T_cm_DefaultNormal_a_01_dn 	
LV_Floreen_Foliage_Lotus01_D_NWCNIK 	,T_cm_DefaultNormal_a_01_dn 	
LV_Common_Plant_A_Spore_D_JSA 	,T_cm_DefaultNormal_a_01_dn 	
T_Gnollando_Foliage_Flower04_D 	,T_cm_DefaultNormal_a_01_dn 	
T_Gnollando_Foliage_Flower03_D 	,T_cm_DefaultNormal_a_01_dn 	
T_Campagna_Tree_CamBush01_D 	,T_cm_DefaultNormal_a_01_dn 	
T_Campagna_Tree_CamBush01_D 	,T_cm_DefaultNormal_a_01_dn 	
T_Campagna_Tree_CamBush01_D 	,T_cm_DefaultNormal_a_01_dn 	
T_Common_Farm_Corn_dn 	,T_Common_Farm_Corn_no 	
T_Common_Farm_Corn_dn 	,T_Common_Farm_Corn_no 	
LV_Common_Foliage_A_Weed_D_Farm 	,LV_Common_Foliage_A_Weed_N_Farm 	
T_Common_Foliage_Fern03_D 	,T_cm_DefaultNormal_a_01_dn 	
T_Common_Foliage_Reed02_D 	,T_cm_DefaultNormal_a_01_dn 	
T_Common_Foliage_Reed02_D 	,T_cm_DefaultNormal_a_01_dn 	
T_Common_Foliage_Reed02_D 	,T_cm_DefaultNormal_a_01_dn 	
T_Common_Foliage_Reed02_D 	,T_cm_DefaultNormal_a_01_dn 	
T_Common_Foliage_Reed02_D 	,T_cm_DefaultNormal_a_01_dn
T_Common_Foliage_Reed02_D 	,T_cm_DefaultNormal_a_01_dn
T_Common_Foliage_Reed02_WS 	,T_cm_DefaultNormal_a_01_dn 	
T_Common_Foliage_Reed02_WS 	,T_cm_DefaultNormal_a_01_dn 	
LV_Common_Object_B_Dish01_D_Farm 	,LV_Common_Object_B_Dish01_N_Farm 	
LV_Common_Object_B_Dish01_D_Farm 	,LV_Common_Object_B_Dish01_N_Farm 	
T_Common_Object_Foliage05_dn 	,T_cm_DefaultNormal_a_01_dn
T_Common_Object_Foliage05_dn 	,T_cm_DefaultNormal_a_01_dn
T_Common_Object_Foliage_dark_D 	,T_cm_DefaultNormal_a_01_dn
T_Common_Object_Foliage_dark_D 	,T_cm_DefaultNormal_a_01_dn
T_Common_Object_Foliage_dark_D 	,T_cm_DefaultNormal_a_01_dn
T_Common_Object_Foliage_dark_D 	,T_cm_DefaultNormal_a_01_dn
LV_Common_Plant_A_Cabbage_D_Farm 	,LV_Common_Plant_A_Cabbage_N_Farm 	
LV_Common_Plant_A_PumpkinLeaf_D_Farm 	,T_cm_DefaultNormal_a_01_dn 	
LV_Common_Plant_A_PumpkinLeaf_D_Farm 	,T_cm_DefaultNormal_a_01_dn 	
LV_Common_Plant_A_PumpkinLeaf_D_Farm 	,T_cm_DefaultNormal_a_01_dn 	
LV_Common_Plant_A_PumpkinLeaf_D_Farm 	,T_cm_DefaultNormal_a_01_dn
LV_Common_Plant_A_PumpkinLeaf_D_Farm 	,T_cm_DefaultNormal_a_01_dn 	
LV_DeadForest_Foliage_A_Potato01_D_Farm 	,T_cm_DefaultNormal_a_01_dn 	
LV_DeadForest_Foliage_A_Potato01_D_Farm 	,T_cm_DefaultNormal_a_01_dn 	
LV_DeadForest_Foliage_A_Pumpkin01_D_Farm 	,T_cm_DefaultNormal_a_01_dn 	
LV_DeadForest_Foliage_A_Pumpkin01_D_Farm 	,T_cm_DefaultNormal_a_01_dn 	
T_F07_Foliage_01_D 	,T_Foliage_Desert02_MS_no
T_F07_Foliage_01_D 	,T_Foliage_Desert02_MS_no
T_F07_Foliage_01_D 	,T_Foliage_Desert02_MS_no
T_F07_Foliage_01_D 	,T_Foliage_Desert02_MS_no 	
mask_1_1_1 	,T_Foliage_Desert02_MS_no
mask_1_1_1 	,T_Foliage_Desert02_MS_no
mask_1_1_1 	,T_Foliage_Desert02_MS_no
mask_1_1_1 	,T_Foliage_Desert02_MS_no
T_F07_Foliage_01_D 	,T_Foliage_Desert02_MS_no
T_F07_Foliage_01_D 	,T_Foliage_Desert02_MS_no
T_F07_Foliage_01_D 	,T_Foliage_Desert02_MS_no
T_F07_Foliage_01_D 	,T_Foliage_Desert02_MS_no 	
T_F07_Foliage_01_D 	,T_Foliage_Desert02_MS_no
T_F07_Foliage_01_D 	,T_Foliage_Desert02_MS_no
T_Redflower_A_dn 	,T_cm_DefaultNormal_a_01_dn 	
T_Redflower_A_dn 	,T_cm_DefaultNormal_a_01_dn 	
T_Navara_Foliage_BushTree01_D 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_AO 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_AO 	,T_cm_DefaultNormal_a_01_dn
T_F05_Foliage01_WS 	,T_Foliage_Desert02_MS_no
T_F05_Foliage01_WS 	,T_Foliage_Desert02_MS_no
T_Foliage_Plan04_D 	,T_cm_DefaultNormal_a_01_dn
T_F08_Foliage_Plan01_D 	,T_cm_DefaultNormal_a_01_dn
T_F08_Foliage_Plan01_D 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_Plan04_D 	,T_cm_DefaultNormal_a_01_dn
T_F05_Foliage01_LHS 	,T_Foliage_Desert02_MS_no
T_F05_Foliage01_LHS 	,T_Foliage_Desert02_MS_no
T_F05_Foliage01_LHS 	,T_Foliage_Desert02_MS_no
T_FD01_Foliage_D 	,T_cm_DefaultNormal_a_01_dn
T_FD01_Foliage_D 	,T_cm_DefaultNormal_a_01_dn
T_F_06_junggl_plant_D_dn2 	,T_cm_DefaultNormal_a_01_dn
T_F_06_junggl_plant_D_dn2 	,T_cm_DefaultNormal_a_01_dn
T_F_06_junggl_plant_D_dn2 	,T_cm_DefaultNormal_a_01_dn
T_F_06_junggl_plant_D_dn2 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_D 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_D 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_02_D_cy 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_02_D_cy 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_Plan01_D_KMS 	,T_Foliage_Desert02_MS_no
T_F01_Foliage01_D_LHS 	,T_cm_DefaultNormal_a_01_dn
T_F05_Foliage01_LHS 	,T_cm_DefaultNormal_a_01_dn
T_F05_Foliage01_LHS 	,T_cm_DefaultNormal_a_01_dn
T_F05_Foliage01_LHS 	,T_cm_DefaultNormal_a_01_dn
T_F05_Foliage01_LHS 	,T_Foliage_Desert02_MS_no
T_F05_Foliage01_LHS 	,T_cm_DefaultNormal_a_01_dn
T_F05_Foliage01_LHS 	,T_Foliage_Desert02_MS_no
T_F_06_jungle_plant_H_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_jungle_plant_H_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_jungle_plant_H_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_jungle_plant_H_dn 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_D 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_D 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_01_D_cy 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_01_D_cy 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_01_D_cy 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_01_D_cy 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_01_D_cy 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_02_D_cy 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_02_D_cy 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_02_D_cy 	,T_cm_DefaultNormal_a_01_dn 	
T_Foliage_02_D_cy 	,T_cm_DefaultNormal_a_01_dn 	
T_Foliage_02_D_cy 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_02_D_cy 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_02_D_cy 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_02_D_cy 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_02_D_cy 	,T_cm_DefaultNormal_a_01_dn 	
T_Foliage_02_D_cy 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_02_D_cy 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_02_D_cy 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_02_D_cy 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_02_D_cy 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_02_D_cy 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_02_D_cy 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_02_D_cy 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_02_D_cy 	,T_cm_DefaultNormal_a_01_dn 	
T_Foliage_02_D_cy 	,T_cm_DefaultNormal_a_01_dn 	
T_Foliage_02_D_cy 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_Desert01_MS_dn 	,T_Foliage_Desert01_MS_no
T_Foliage_Desert01_MS_dn 	,T_Foliage_Desert01_MS_no 	
T_Foliage_Desert01_MS_dn 	,T_Foliage_Desert01_MS_no
T_Foliage_Desert01_MS_dn 	,T_Foliage_Desert01_MS_no 	
T_Foliage_Desert02_MS_dn 	,T_Foliage_Desert02_MS_no
T_Foliage_Desert02_MS_dn 	,T_Foliage_Desert02_MS_no
T_F01_Foliage01_D_LHS 	,T_cm_DefaultNormal_a_01_dn
T_F01_Foliage01_D_LHS 	,T_cm_DefaultNormal_a_01_dn
T_F01_Foliage01_D_LHS 	,T_cm_DefaultNormal_a_01_dn
T_F01_Foliage01_D_LHS 	,T_cm_DefaultNormal_a_01_dn 	
T_F01_Foliage01_D_LHS 	,T_cm_DefaultNormal_a_01_dn 	
T_F01_Foliage01_D_LHS 	,T_cm_DefaultNormal_a_01_dn 	
T_F01_Foliage01_D_LHS 	,T_cm_DefaultNormal_a_01_dn
T_F01_Foliage01_D_LHS 	,T_cm_DefaultNormal_a_01_dn
T_F01_Foliage01_D_LHS 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_D 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_D 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_D 	,T_cm_DefaultNormal_a_01_dn 	
T_Foliage_Plan01_D_KMS 	,T_Foliage_Desert02_MS_no
T_Foliage_Plan01_D_KMS 	,T_Foliage_Desert02_MS_no
T_Foliage_Plan01_D2 	,T_Foliage_Desert02_MS_no
T_Foliage_Plan01_D_KMS 	,T_Foliage_Desert02_MS_no
T_Foliage_Plan01_D_KMS 	,T_Foliage_Desert02_MS_no
T_Foliage_Plan01_D2 	,T_Foliage_Desert02_MS_no
T_Foliage_Plan01_D2 	,T_Foliage_Desert02_MS_no
T_Foliage_Plan01_D2 	,T_Foliage_Desert02_MS_no
T_Foliage_Plan01_D2 	,T_Foliage_Desert02_MS_no
T_Foliage_Plan01_D2 	,T_Foliage_Desert02_MS_no
T_Foliage_Plan01_D_KMS 	,T_Foliage_Desert02_MS_no
T_Foliage_Plan01_D_KMS 	,T_Foliage_Desert02_MS_no
T_Foliage_Plan01_D_KMS 	,T_Foliage_Desert02_MS_no
T_Foliage_Plan02_D 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_Plan02_D 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_Plan02_D 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_Plan02_D 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_Plan03_D 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_Plan03_D 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_Plan_D04 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_Plan_D04 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_Plan_D04 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_Plan04_D 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_Plan02_D 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_Plan01_D_KMS 	,T_Foliage_Desert02_MS_no
T_Foliage_Plan_D04 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_Plan01_D2 	,T_Foliage_Desert02_MS_no
T_Foliage_Desert02_MS_dn 	,T_Foliage_Desert02_MS_no
T_F03_plant_A_dn 	,T_cm_DefaultNormal_a_01_dn
T_F03_plant_A_dn 	,T_cm_DefaultNormal_a_01_dn
T_F03_plant_A_dn 	,T_cm_DefaultNormal_a_01_dn
T_F03_plant_A_dn 	,T_cm_DefaultNormal_a_01_dn
T_F03_plant_A_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_jungle_plant_I_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_jungle_plant_I_dn 	,T_cm_DefaultNormal_a_01_dn
F_06decoplant_s_A_dn 	,F_06decoplant_s_A_no 	
F_06decoplant_s_A_dn 	,F_06decoplant_s_A_no 	
F_06decoplant_s_A_dn 	,T_cm_DefaultNormal_a_01_dn 	
T_F_06_junggl_plant_D_dn 	,T_cm_DefaultNormal_a_01_dn
