Albedo Texture,Normal Texture
T_Black_Land_Rock00_LHS_dn 	,T_Black_Land_Rock00_LHS_no
DesertDustyRocks_basecolor 	,DesertDustyRocks_normal
T_Black_Land_Rock03_LHS_dn 	,T_Black_Land_Rock03_LHS_no
T_Black_Land_Rock02_LHS_dn,T_Black_Land_Rock02_LHS_no 	
T_Black_Land_Rock03_LHS1_dn 	,T_Black_Land_Rock03_LHS1_no
T_Black_Land_Rock03_LHS1_dn,T_Black_Land_Rock03_LHS1_no 	
T_Black_Land_Rock03_LHS_dn 	,T_Black_Land_Rock03_LHS_no
T_Black_Land_Rock03_LHS_dn 	,T_Black_Land_Rock03_LHS_no
T_Black_Land_Rock04_LHS1_dn,T_Black_Land_Rock04_LHS1_no 	
T_Black_Land_Rock04_LHS1_dn,T_Black_Land_Rock04_LHS1_no 	
T_Black_Land_Rock04_LHS1_dn,T_Black_Land_Rock04_LHS1_no 	
DesertDustyRocks_basecolor 	,T_Black_Land_Rock04_LHS_no
T_Black_Land_Rock04_LHS_dn,T_Black_Land_Rock04_LHS_no 	
T_Black_Land_Rock04_LHS_dn,T_Black_Land_Rock04_LHS_no 	
T_Black_Land_Rock05_LHS1_dn,T_Black_Land_Rock05_LHS1_no 	
T_Black_Land_Rock05_LHS1_dn,T_Black_Land_Rock05_LHS1_no 	
T_Black_Land_Rock05_LHS_dn,T_Black_Land_Rock05_LHS_no 	
T_Neutral_Crater_A_Big_01_LHS_dn 	,T_LV_BurningSands_Rock_Basilisk_no
T_Black_Land_Rock06_LHS_D,T_Black_Land_Rock06_LHS_N 	
T_Black_Land_Rock06_LHS_D,T_Black_Land_Rock06_LHS_N 	
T_Black_Land_Rock06_LHS_D,T_Black_Land_Rock06_LHS_N 	
T_Black_Land_Rock06_LHS_D,T_Black_Land_Rock06_LHS_N 	
T_Black_Land_Rock00_LHS_dn 	,T_Black_Land_Rock00_LHS_no
T_Black_Land_Rock07_LHS1_dn,T_Black_Land_Rock07_LHS1_no 	
DesertDustyRocks_basecolor 	,T_Black_Land_Rock07_LHS_no
T_Black_Land_Rock07_LHS_dn 	,T_Black_Land_Rock07_LHS_no
T_Black_Land_Rock07_LHS_dn,T_Black_Land_Rock07_LHS_no 	
T_Black_Land_Rock07_LHS_dn,T_Black_Land_Rock07_LHS_no 	
T_Black_Land_Rock08_LHS_dn,T_Black_Land_Rock08_LHS_no 	
T_Black_Land_Rock08_LHS_dn,T_Black_Land_Rock08_LHS_no 	
T_Black_Land_Rock09_LHS_dn,T_Black_Land_Rock09_LHS_no 	
T_Black_Land_Rock09_LHS_dn,T_Black_Land_Rock09_LHS_no 	
T_Black_Land_Rock09_LHS_dn,T_Black_Land_Rock09_LHS_no 	
T_Black_Land_Rock09_LHS_dn,T_Black_Land_Rock09_LHS_no 	
T_Neutral_Crater_A_Big_01_LHS_dn 	,T_LV_BurningSands_Rock_Basilisk_no
T_Neutral_Crater_A_Big_01_LHS_dn 	,T_LV_BurningSands_Rock_Basilisk_no
DesertDustyRocks_basecolor 	,DesertDustyRocks_normal
DesertDustyRocks_basecolor 	,DesertDustyRocks_normal
DesertDustyRocks_basecolor 	,DesertDustyRocks_normal
T_Neutral_Crater_A_Big_01_LHS_dn 	,T_LV_BurningSands_Rock_Basilisk_no
DesertDustyRocks_basecolor 	,DesertDustyRocks_normal
T_LV_MagosBasin_Object_DevilTowerA01_SM_KJH_dn 	,T_LV_MagosBasin_Object_DevilTowerA01_SM_KJH_no 	
T_Succubus01_CY_dn 	,T_Succubus01_CY_no 	
T_Succubus02_CY_dn 	,T_Succubus02_CY_no 	
T_Succubus03_CY_dn 	,T_Succubus03_CY_no 	
T_Succubus04_CY_dn 	,T_Succubus04_CY_no 	
LV_Dungeon_Object_Portal02_D_KJY 	,LV_Dungeon_Object_Portal02_N_KJY 	
LV_Dungeon_Object_Portal01_D_KJY,LV_Dungeon_Object_Portal01_N_KJY 	
LV_BlackForest_Foliage_Weed01_D_HMJ 	,LV_BlackForest_Foliage_Weed01_N_HMJ 	
T_Alchemy_BoxProp_01_dn 	,T_Alchemy_BoxProp_01_no 	
T_ArbaJungle_Object_TrexAltar05_SM_YSHDiffuseMap_D,T_ArbaJungle_Object_TrexAltar05_SM_YSHDiffuseMap_N 	
T_Arch_Columnwall_01_dn 	,T_Arch_Columnwall_01_no
T_Brick02_dn 	,T_Brick02_no
T_CastleWall_01_dn 	,T_CastleWall_01_no
T_Arch_Columnwall_01_CY_D,T_Arch_Columnwall_01_CY_N 	
T_Boat_01_dn,T_Boat_01_no 	
T_BookShelf_01_dn,T_BookShelf_01_no 	
T_BookShelf_01_dn,T_BookShelf_01_no 	
T_CampFire01_YN_dn,T_CampFire01_YN_no 	
T_Common01_CY1_dn 	,T_Common01_CY1_no
T_Common01_CY1_dn 	,T_Common01_CY1_no
T_Common01_CY1_dn 	,T_Common01_CY1_no
T_Common01_CY1_dn 	,T_Common01_CY1_no
T_Common02_CY_D,T_Common02_CY_N 	
T_Common02_LHS_D,T_Common02_LHS_N 	
T_Common02_LHS_D,T_Common02_LHS_N 	
T_Common03_CY1_dn 	,T_Common03_CY1_no
T_Common03_CY_dn 	,T_Common03_CY_no
T_Common03_LHS_dn 	,T_Common03_LHS_no
T_Common03_LHS_dn,T_cm_DefaultNormal_a_01_dn 	
T_Common04_CY_A1_dn 	,T_Common04_CY_A1_no
T_Common04_CY_A_dn 	,T_Common04_CY_A_no
T_Common04_CY_A_dn 	,T_Common04_CY_A_no
T_Common04_CY_A_dn,T_Common04_CY_A_no 	
T_Common04_CY_B_a_dn,T_Common04_CY_B_a_no 	
T_Common04_CY_B_b_dn 	,T_Common04_CY_B_b_no 	
T_Common05_LHS_dn 	,T_Common05_LHS_no 	
T_Common07_CY1_dn,T_Common07_CY1_no 	
T_Common07_CY1_dn,T_Common07_CY1_no 	
T_Common07_CY_dn,T_Common07_CY_no 	
T_Common07_CY_dn,T_Common07_CY_no 	
T_Common07_CY_dn 	,T_cm_DefaultNormal_a_01_dn 	
T_Common07_LHS_1_dn,T_Common07_LHS_1_no 	
T_Common07_LHS_dn 	,T_Common07_LHS_no 	
T_Common07_LHS_dn 	,T_Common07_LHS_no 	
T_Common13_CY1_dn 	,T_Common13_CY1_no
T_Common13_CY_dn 	,T_Common13_CY_no
T_Pf_Artifact06_KJH_D 	,T_Pf_Artifact06_KJH_N
T_Common15_CY_dn 	,T_Common15_CY_no
T_Pf_Artifact06_KJH_D 	,T_Pf_Artifact06_KJH_N
T_Common15_CY_dn 	,T_Common15_CY_no
T_Common15_CY1_dn 	,T_Common15_CY1_no
T_Common15_CY1_dn 	,T_Common15_CY1_no
T_Common15_CY_dn 	,T_Common15_CY_no
T_Common15_CY_dn 	,T_Common15_CY_no
T_Common15_CY_dn 	,T_Common15_CY_no
T_Common15_CY_dn 	,T_Common15_CY_no
T_Brick02_dn 	,T_Brick02_no
T_Brick02_dn 	,T_Brick02_no
T_Common19_CY_dn 	,T_Common19_CY_no 	
T_Common21_CY_dn,T_Common21_CY_no 	
T_Common24_CY1_dn,T_Common24_CY1_no 	
T_Common24_CY_dn,T_Common24_CY_no 	
T_Common26_CY_D,T_cm_DefaultNormal_a_01_dn 	
T_Common26_CY_D,T_cm_DefaultNormal_a_01_dn 	
T_Common_Ashes01_LHS_dn,T_Common_Ashes01_LHS_no 	
T_Common_Ashes01_LHS_dn,T_Common_Ashes01_LHS_no 	
T_Common_Ashes01_LHS_dn,T_Common_Ashes01_LHS_no 	
T_Common_Ashes02_LHS_dn,T_Common_Ashes02_LHS_no 	
T_Common_Ashes02_LHS_dn,T_Common_Ashes02_LHS_no 	
T_Common_Ashes02_LHS_dn,T_Common_Ashes02_LHS_no 	
T_Common_Bridge01_LHS_dn,T_Common_Bridge01_LHS_no 	
T_Fotress_cannon_A_dn 	,T_Fotress_cannon_A_no 	
T_Fotress_decoob_A_dn2 	,T_Fotress_decoob_A_no 	
T_GrassLand_GriffonNest_Nest02_SM_HMJ_dn 	,T_cm_DefaultNormal_a_01_dn 	
T_GrassLand_GriffonNest_Nest02_SM_HMJ_dn 	,T_cm_DefaultNormal_a_01_dn 	
T_LV_BurningSands_Rock_Basilisk_dn 	,T_LV_BurningSands_Rock_Basilisk_no
T_LV_M6_Rock_SeashoreStone04_SM_KIS_dn 	,T_LV_M6_Rock_SeashoreStone04_SM_KIS_no
T_Neutral_Crater_A_Big_01_LHS_dn 	,T_LV_M6_Rock_SeashoreStone04_SM_KIS_no
T_Neutral_Crater_A_Big_01_LHS_dn 	,T_LV_M6_Rock_SeashoreStone04_SM_KIS_no
T_LV_BurningSands_Rock_Basilisk04_SM_KIS_dn,T_LV_BurningSands_Rock_Basilisk04_SM_KIS_no 	
T_LV_BurningSands_Rock_Basilisk_dn 	,T_LV_BurningSands_Rock_Basilisk_no
F04_LV_GrassLand_Tile_Cliff02_D_HMJ 	,T_Ork06_CY_1_no
T_LV_Hoersel_Tree_MutationMushroom01_SM_SMK_dn,T_LV_Hoersel_Tree_MutationMushroom01_SM_SMK_no 	
T_LV_Hoersel_Tree_MutationMushroom01_SM_SMK_dn,T_LV_Hoersel_Tree_MutationMushroom01_SM_SMK_no 	
T_LV_Hoersel_Tree_MutationMushroom01_SM_SMK_dn 	,T_LV_Hoersel_Tree_MutationMushroom01_SM_SMK_no 	
T_MERGED_Aset_Prop02_1_dn,T_MERGED_Aset_Prop02_1_no 	
T_MERGED_Aset_Prop02_dn 	,T_MERGED_Aset_Prop02_no
T_MERGED_Aset_Prop03_dn,T_MERGED_Aset_Prop03_no 	
T_MERGED_Aset_Prop03_dn,T_cm_DefaultNormal_a_01_dn 	
T_TurtleLake_Object_Workbench_D,T_TurtleLake_Object_Workbench_N 	
T_TurtleLake_Object_Workbench_D,T_TurtleLake_Object_Workbench_N 	
T_MERGED_Aset_Prop05_dn,T_MERGED_Aset_Prop05_no 	
T_MERGED_Aset_Prop05_dn,T_MERGED_Aset_Prop05_no 	
T_MERGED_Aset_Prop05_dn,T_MERGED_Aset_Prop05_no 	
T_MERGED_Aset_Prop06_dn,T_MERGED_Aset_Prop06_no 	
T_MERGED_Aset_Prop08_dn,T_MERGED_Aset_Prop08_no 	
T_MERGED_Aset_Prop08_dn,T_MERGED_Aset_Prop08_no 	
T_MERGED_Aset_Prop08_dn,T_MERGED_Aset_Prop08_no 	
T_MERGED_Aset_Prop08_dn,T_MERGED_Aset_Prop08_no 	
T_MERGED_Aset_Prop08_dn,T_MERGED_Aset_Prop08_no 	
T_MERGED_Aset_Prop09_dn,T_MERGED_Aset_Prop09_no 	
T_MERGED_Aset_Prop09_dn,T_MERGED_Aset_Prop09_no 	
T_MERGED_Aset_Prop09_dn 	,T_MERGED_Aset_Prop09_no 	
T_MERGED_Aset_Prop09_dn,T_MERGED_Aset_Prop09_no 	
T_MERGED_Aset_Prop09_dn,T_MERGED_Aset_Prop09_no 	
T_MERGED_Aset_Prop09_dn 	,T_MERGED_Aset_Prop09_no 	
T_MERGED_Aset_Prop10_dn,T_MERGED_Aset_Prop10_no 	
T_MERGED_Aset_Prop10_dn,T_MERGED_Aset_Prop10_no 	
T_MERGED_Aset_Prop10_dn,T_MERGED_Aset_Prop10_no 	
T_MERGED_Aset_Prop11_1_dn,T_MERGED_Aset_Prop11_1_no 	
T_MERGED_Aset_Prop11_dn,T_MERGED_Aset_Prop11_no 	
T_LV_Neutral_Deco_A_Tent03_D,T_LV_Neutral_Deco_A_Tent03_N 	
T_LV_Neutral_Deco_A_Tent03_D2,T_LV_Neutral_Deco_A_Tent03_N2 	
T_LV_Neutral_Deco_A_Tent03_D_re,T_LV_Neutral_Deco_A_Tent03_N 	
T_LV_Neutral_Deco_A_Tent03_D2_re,T_LV_Neutral_Deco_A_Tent03_N2 	
T_DeadForest_Rock_Stone01_D,T_DeadForest_Rock_Stone01_N 	
T_DeadForest_Rock_Stone02_D,T_DeadForest_Rock_Stone02_N 	
T_DeadForest_Rock_Stone02_D,T_DeadForest_Rock_Stone02_N 	
T_HarvartyVillage_Ruin_Building01_D,T_HarvartyVillage_Ruin_Building01_N 	
T_Cornus_ArmyCamp_StoneWall_D,T_Cornus_ArmyCamp_StoneWall_N 	
T_DeadForest_Object_Fence01_D,T_DeadForest_Object_Fence01_N 	
T_DeadForest_Object_Fence01_D,T_DeadForest_Object_Fence01_N 	
T_Port_HarborBridgeFloor_D 	,T_Port_HarborBridgeFloor_N
T_Port_HarborBridgeFloor_D,T_Port_HarborBridgeFloor_N 	
T_Metal01_LHS_D 	,T_Metal01_LHS_N 	
T_Metal02_LHS_D 	,T_Metal02_LHS_N
T_Metal03_LHS_D 	,T_Metal03_LHS_N 	
T_Metal05_LHS_D 	,T_Metal05_LHS_N 	
T_Ork01_CY_dn 	,T_Ork01_CY_no 	
T_Ork01_CY_dn 	,T_Ork01_CY_no 	
T_Ork02_CY_1_dn 	,T_Ork02_CY_1_no 	
T_Ork02_CY_dn,T_Ork02_CY_no 	
T_Ork03_CY_dn,T_Ork03_CY_no 	
T_Ork04_CY_dn,T_Ork04_CY_no 	
T_Ork04_CY_dn,T_Ork04_CY_no 	
T_Ork05_CY_1_dn,T_Ork05_CY_1_no 	
T_Ork05_CY_1_dn,T_Ork05_CY_1_no 	
T_Ork05_CY_dn,T_Ork05_CY_no 	
T_Ork05_CY_dn 	,T_Ork05_CY_no 	
T_Ork05_CY_dn,T_Ork05_CY_no 	
T_Ork06_CY_1_dn 	,T_Ork06_CY_1_no
T_Ork06_CY_dn 	,T_Ork06_CY_no
T_Ork06_CY_dn 	,T_Ork06_CY_no 	
T_Pf_Bridge01_LHS_dn,T_Pf_Bridge01_LHS_no 	
T_Pf_Bridge01_LHS_dn,T_Pf_Bridge01_LHS_no 	
T_Pf_CampFire01_KJH_D,T_Pf_CampFire01_KJH_N 	
T_Pf_CampFire01_KJH_D,T_Pf_CampFire01_KJH_N 	
T_Pf_CampProp01_KJH_dn,T_cm_DefaultNormal_a_01_dn 	
T_Pf_CampProp01_KJH_dn,T_cm_DefaultNormal_a_01_dn 	
T_Pf_CampProp02_KJH_D,T_cm_DefaultNormal_a_01_dn 	
T_Pf_CampProp03_KJH1_dn,T_Pf_CampProp03_KJH1_no 	
T_Pf_CampProp03_KJH_dn,T_Pf_CampProp03_KJH_no 	
T_Pf_CampProp04_KJH_dn 	,T_cm_DefaultNormal_a_01_dn
T_Pf_CampProp04_KJH_dn 	,T_cm_DefaultNormal_a_01_dn
T_Pf_CampProp04_KJH_dn 	,T_cm_DefaultNormal_a_01_dn
T_Pf_CampProp05_D,T_Pf_CampProp05_N 	
T_Common_Object_A_Sheaf_D 	,T_Common_Object_A_Sheaf_N 	
T_Pf_CampProp05_D,T_Pf_CampProp05_N 	
T_Common_Object_A_Sheaf_D 	,T_Common_Object_A_Sheaf_N 	
T_Pf_CampSmall03_KJH_D,T_Pf_CampSmall03_KJH_N 	
T_Pf_CampSmall03_KJH_D,T_Pf_CampSmall03_KJH_N 	
T_Pf_Common_KJH01_D2,T_cm_DefaultNormal_a_01_dn 	
T_Pf_Common_KJH02_D2,T_cm_DefaultNormal_a_01_dn 	
T_Pf_Gate01_KJH_D 	,T_Pf_Gate01_KJH_N
T_Pf_Lumbermill01_KJH1_dn,T_Pf_Lumbermill01_KJH1_no 	
T_Pf_Lumbermill01_KJH_dn,T_Pf_Lumbermill01_KJH_no 	
T_Pf_OrkFence01_LHS_dn 	,T_Pf_OrkFence01_LHS_no 	
T_Pf_OrkFence01_LHS_dn 	,T_Pf_OrkFence01_LHS_no 	
T_Pf_OrkGate01_LHS_1_dn 	,T_Pf_OrkGate01_LHS_1_no 	
T_Pf_OrkGate01_LHS_dn,T_Pf_OrkGate01_LHS_no 	
T_Pf_OrkGate01_TransMesh_LHS_dn 	,T_Pf_OrkGate01_TransMesh_LHS_no
T_Pf_OrkPlatform011_LHS_dn,T_Pf_OrkPlatform011_LHS_no 	
T_Pf_OrkPlatform01_LHS_dn 	,T_Pf_OrkPlatform01_LHS_no 	
T_Pf_OrkPlatform01_LHS_dn 	,T_Pf_OrkPlatform01_LHS_no 	
T_Pf_OrkTent01_LHS1_dn 	,T_Pf_OrkTent01_LHS1_no
T_Pf_OrkTent01_LHS1_dn 	,T_Pf_OrkTent01_LHS1_no 	
T_Pf_OrkTent01_LHS_dn 	,T_Pf_OrkTent01_LHS_no
T_Pf_OrkTent01_LHS_dn,T_Pf_OrkTent01_LHS_no 	
T_Pf_OrkTent02_LHS_1_dn,T_Pf_OrkTent02_LHS_1_no 	
T_Pf_OrkTent02_LHS_1_dn,T_Pf_OrkTent02_LHS_1_no 	
T_Pf_OrkTent02_LHS_dn,T_Pf_OrkTent02_LHS_no 	
T_Pf_OrkTent02_LHS_dn,T_Pf_OrkTent02_LHS_no 	
T_Pf_OrkTent02_LHS_dn,T_Pf_OrkTent02_LHS_no 	
T_Pf_OrkTent03_LHS1_dn,T_Pf_OrkTent03_LHS1_no 	
T_Pf_OrkTent03_LHS1_dn,T_Pf_OrkTent03_LHS1_no 	
T_Pf_OrkTent03_LHS_dn 	,T_Pf_OrkTent03_LHS_no 	
T_Pf_OrkTent03_LHS_dn 	,T_Pf_OrkTent03_LHS_no 	
T_Pf_Ruin01_LHS_1_dn 	,T_Pf_Ruin01_LHS_1_no
T_Pf_Ruin01_LHS_dn 	,T_Pf_Ruin01_LHS_no
T_Pf_Smithy01_1_KJH_dn 	,T_Pf_Smithy01_1_KJH_no 	
T_Pf_Smithy01_KJH_dn 	,T_Pf_Smithy01_KJH_no 	
T_Pf_TombStone01_LHS_dn,T_Pf_TombStone01_LHS_no 	
T_Pf_TombStone01_LHS_dn,T_Pf_TombStone01_LHS_no 	
T_BurningSands_BanditsBase_Bridge01_D 	,T_BurningSands_BanditsBase_Bridge01_N
T_Pf_WatchTower01_KJH1_dn,T_Pf_WatchTower01_KJH1_no 	
T_Pf_WatchTower01_KJH_D 	,T_Pf_WatchTower01_KJH_N
T_Pf_WatchTower01_KJH_dn,T_Pf_WatchTower01_KJH_no 	
T_Pf_WeaponTable01_KJH_dn 	,T_Pf_WeaponTable01_KJH_no 	
T_Pf_WeaponTable01_KJH_dn 	,T_Pf_WeaponTable01_KJH_no 	
T_Pf_Windmill01_1_dn 	,T_Pf_Windmill01_1_no
T_Pf_Windmill01_dn 	,T_Pf_Windmill01_no
T_DeadForest_NiarrenTown_Windmill01_D 	,T_DeadForest_NiarrenTown_Windmill01_N 	
T_Pf_WoodWall01_KJH_dn,T_Pf_WoodWall01_KJH_no 	
T_Pf_WoodWall02_KJH_dn 	,T_Pf_WoodWall02_KJH_no
T_Pf_WoodWall02_KJH_dn 	,T_Pf_WoodWall02_KJH_no
T_Pf_WoodWall02_KJH_dn 	,T_Pf_WoodWall02_KJH_no
T_Pf_WoodWall02_KJH_dn 	,T_Pf_WoodWall02_KJH_no
T_Pf_WoodWall02_KJH_dn 	,T_Pf_WoodWall02_KJH_no
T_Pf_Wreckage01_KJH_D,T_Pf_Wreckage01_KJH_N 	
T_Pf_WyvernNest01_D_LHS 	,T_Pf_WyvernNest01_N_LHS 	
T_Respawn02_CY_dn 	,T_Respawn02_CY_no 	
T_Respawn03_KJH_dn 	,T_Respawn03_KJH_no 	
T_Respawn03_KJH_dn 	,T_Respawn03_KJH_no 	
T_Respawn03_KJH_dn 	,T_Respawn03_KJH_no 	
LV_BlackForest_Ship_D_NWCOZL 	,LV_BlackForest_Ship_N_NWCOZL
LV_BlackForest_Ship05_D_NWCOZL 	,LV_BlackForest_Ship05_N_NWCOZL
Shells,Shells_nmp 	
T_Spirit_Altar_01_YN_dn 	,T_Spirit_Altar_01_YN_no
T_WoodRaker_01_dn 	,T_WoodRaker_01_no
T_WoodRaker_01_dn 	,T_WoodRaker_01_no
T_pf_Barricade_a2_dn,T_pf_Barricade_a2_no 	
T_pf_BoxProps_a_dn 	,T_cm_DefaultNormal_a_01_dn 	
T_pf_BoxProps_a_dn 	,T_cm_DefaultNormal_a_01_dn 	
T_pf_BoxProps_a_dn 	,T_cm_DefaultNormal_a_01_dn 	
T_pf_WoodCartBrok_a_01_dn,T_cm_DefaultNormal_a_01_dn 	
T_pf_WoodCartBrok_a_01_dn,T_cm_DefaultNormal_a_01_dn 	
T_Cactaceae_D,T_Cactaceae_N 	
T_Cactaceae_D,T_Cactaceae_N 	
T_Cactaceae_D,T_Cactaceae_N 	
T_Desert19_01_D,T_Desert19_01_N 	
T_Desert19_02_D,T_Desert19_02_N 	
T_DesertValley_01_01_D,T_DesertValley_01_01_N 	
T_DesertValley_01_02_D,T_DesertValley_01_02_N 	
T_DesertValley_Camp03_D,T_DesertValley_Camp03_N 	
T_DesertValley_Camp03_D,T_DesertValley_Camp03_N 	
T_DesertValley_Camp03_D1,T_DesertValley_Camp03_N1 	
T_DesertValley_Camp04_D,T_DesertValley_Camp04_N 	
T_DesertValley_Camp05_D 	,T_DesertValley_Camp05_N 	
T_DesertValley_Camp06_D,T_DesertValley_Camp06_N 	
T_DesertValley_Camp06_D,T_DesertValley_Camp06_N 	
T_DesertValley_GroundProp02_01_D,T_DesertValley_GroundProp02_01_N 	
T_DesertValley_GroundProp02_02_D,T_DesertValley_GroundProp02_02_N 	
T_DesertValley_GroundProp02_01_D,T_DesertValley_GroundProp02_01_N 	
T_DesertValley_GroundProp02_02_D,T_DesertValley_GroundProp02_02_N 	
T_DesertValley_GroundProp02_01_D,T_DesertValley_GroundProp02_01_N 	
T_DesertValley_GroundProp02_02_D,T_DesertValley_GroundProp02_02_N 	
T_DesertValley_GroundProp02_02_D,T_DesertValley_GroundProp02_02_N 	
T_DesertValley_House01_01_D,T_DesertValley_House01_01_N 	
T_DesertValley_House01_02_D,T_DesertValley_House01_02_N 	
T_DesertValley_House02_01_D,T_DesertValley_House02_01_N 	
T_DesertValley_House02_02_D,T_DesertValley_House02_02_N 	
T_DesertValley_House03_01_D,T_DesertValley_House03_01_N 	
T_DesertValley_House03_02_D,T_DesertValley_House03_02_N 	
T_DesertValley_Prop01_D,T_DesertValley_Prop01_N 	
T_DesertValley_Prop01_D,T_DesertValley_Prop01_N 	
T_DesertValley_Prop05_D 	,T_DesertValley_Prop05_N 	
T_DesertValley_Prop05_D 	,T_DesertValley_Prop05_N 	
T_DesertValley_Prop06_01_D,T_DesertValley_Prop06_01_N 	
T_DesertValley_Prop06_02_D,T_DesertValley_Prop06_02_N 	
T_DesertValley_Prop06_02_D,T_DesertValley_Prop06_02_N 	
T_DesertValley_Prop06_01_D,T_DesertValley_Prop06_01_N 	
LV_Terny_Object_Tentacle01_D_KJH 	,LV_Terny_Object_Tentacle01_N_KJH 	
T_MERGED_Aset_rock_volcanic_D,T_MERGED_Aset_rock_volcanic_N 	
T_MERGED_Aset_rock_volcanic_D,T_MERGED_Aset_rock_volcanic_N 	
T_MERGED_LV_Campagna_MoleCricketsDen_Pillar01_SM_EYE16_1_dn,T_MERGED_LV_Campagna_MoleCricketsDen_Pillar01_SM_EYE16_1_no 	
T_MERGED_LV_Campagna_MoleCricketsDen_Pillar01_SM_EYE16_dn,T_MERGED_LV_Campagna_MoleCricketsDen_Pillar01_SM_EYE16_no 	
T_MERGED_LV_Campagna_MoleCricketsDen_Pillar02_SM_EYE5_01_dn,T_MERGED_LV_Campagna_MoleCricketsDen_Pillar02_SM_EYE5_01_no 	
T_MERGED_LV_Campagna_MoleCricketsDen_Pillar02_SM_EYE5_dn,T_MERGED_LV_Campagna_MoleCricketsDen_Pillar02_SM_EYE5_no 	
T_MERGED_LV_Campagna_MoleCricketsDen_Pillar02_SM_EYE5_dn,T_MERGED_LV_Campagna_MoleCricketsDen_Pillar02_SM_EYE5_no 	
T_MERGED_LV_DesertValley_Goblin_BridgeDeco04_SM_KHJ_258_dn 	,T_MERGED_LV_DesertValley_Goblin_BridgeDeco04_SM_KHJ_258_no 	
T_WhaleBone01_D,T_WhaleBone01_N 	
T_WhaleBone01_D,T_WhaleBone01_N 	
T_WhaleBone01_D,T_WhaleBone01_N 	
T_WhaleBone02_D,T_WhaleBone02_N 	
T_WhaleBone02_D,T_WhaleBone02_N 	
T_Desert03_LHS_D 	,T_Desert03_LHS_N 	
T_MERGED_Aset_rock_sandstone_01_D,T_MERGED_Aset_rock_sandstone_01_N 	
T_MERGED_Aset_rock_sandstone_01_D,T_MERGED_Aset_rock_sandstone_01_N 	
T_MERGED_Aset_rock_sandstone_02_D 	,T_MERGED_Aset_rock_sandstone_02_N 	
