Name, Textures 
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Bridge01_LHS_WS.uasset, *[weather Tex] : weather_m 	*[Normal] : T_Black_Land_Bridge01_LHS_no 	*[Albedo] : T_Black_Land_Bridge01_LHS_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Cliff01_LHS_dn.uasset, *[Albedo] : T_Black_Land_Cliff02_LHS_dn 	*[GI Texture] : T_Black_Land_Cliff01_LHS_li 	*[Normal] : T_Black_Land_Cliff02_LHS_no 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Cliff01_LHS_dn2.uasset, *[Albedo] : T_Black_Land_Cliff02_LHS_dn 	*[GI Texture] : T_Black_Land_Cliff01_LHS_li 	*[Normal] : T_Black_Land_Cliff02_LHS_no 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Cliff01_LHS_dn3.uasset, *[Albedo] : T_Neutral_Crater_A_Big_01_LHS_dn 	*[GI Texture] : T_Black_Land_Cliff01_LHS_li 	*[Normal] : T_LV_BurningSands_Rock_Basilisk_no 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Cliff02_LHS_dn.uasset, *[Albedo] : T_Black_Land_Cliff02_LHS_dn 	*[GI Texture] : T_Black_Land_Cliff02_LHS_li 	*[Normal] : T_Black_Land_Cliff02_LHS_no 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Cliff02_LHS_dn_AO.uasset, *[Normal] : T_Black_Land_Cliff02_LHS_no 	*[Albedo] : T_Black_Land_Cliff02_LHS_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Cliff02_LHS_dn_AO1.uasset, *[Albedo] : T_Neutral_Crater_A_Big_01_LHS_dn 	*[GI Texture] : T_cm_White_a_01_dn 	*[Normal] : T_LV_BurningSands_Rock_Basilisk_no 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Cliff02_LHS_dn_Dark.uasset, *[Mask] : T_Black_Land_Cliff02_LHS_me 	*[Normal] : T_Black_Land_Cliff02_LHS_no 	*[Albedo] : T_Black_Land_Cliff02_LHS_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock00_LHS_D2.uasset, *[Albedo] : DesertDustyRocks_basecolor 	*[GI Texture] : T_Black_Land_Rock00_LHS_li 	*[Normal] : T_Black_Land_Rock00_LHS_no 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock00_LHS_dn.uasset, *[Albedo] : T_Black_Land_Rock00_LHS_dn 	*[GI Texture] : T_Black_Land_Rock00_LHS_li 	*[Normal] : T_Black_Land_Rock00_LHS_no 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock01_LHS_dn.uasset, *[Normal] : T_Black_Land_Rock01_LHS_no 	*[Albedo] : T_Black_Land_Rock01_LHS_dn 	*[Mask] : mask_0_1_1 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock01_LHS_dn1.uasset, *[Normal] : T_Black_Land_Rock01_LHS_no 	*[Albedo] : T_Black_Land_Rock01_LHS_dn 	*[Mask] : mask_0_1_1 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock02_LHS1_dn.uasset, *[Albedo] : T_Black_Land_Rock03_LHS1_dn 	*[GI Texture] : T_Black_Land_Rock02_LHS_li 	*[Normal] : T_Black_Land_Rock03_LHS1_no 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock02_LHS1_dn1.uasset, *[Albedo] : T_Neutral_Crater_A_Big_01_LHS_dn 	*[GI Texture] : T_Rock_CliffVolcanic_A_gi 	*[Normal] : T_LV_BurningSands_Rock_Basilisk_no 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock02_LHS1_dn10.uasset, *[Albedo] : DesertDustyRocks_basecolor 	*[GI Texture] : T_Rock_CliffVolcanic_C_gi 	*[Normal] : DesertDustyRocks_normal 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock02_LHS1_dn11.uasset, *[Albedo] : DesertDustyRocks_basecolor 	*[GI Texture] : T_Rock_CliffVolcanic_C_gi 	*[Normal] : DesertDustyRocks_normal 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock02_LHS1_dn12.uasset, *[Albedo] : DesertDustyRocks_basecolor 	*[GI Texture] : T_Rock_CliffVolcanic_C_gi 	*[Normal] : DesertDustyRocks_normal 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock02_LHS1_dn13.uasset, *[Albedo] : DesertDustyRocks_basecolor 	*[GI Texture] : T_Rock_CliffVolcanic_A_gi 	*[Normal] : DesertDustyRocks_normal 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock02_LHS1_dn14.uasset, *[Albedo] : T_Neutral_Crater_A_Big_01_LHS_dn 	*[GI Texture] : T_cm_White_a_01_dn 	*[Normal] : T_LV_BurningSands_Rock_Basilisk_no 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock02_LHS1_dn15.uasset, *[Albedo] : T_Neutral_Crater_A_Big_01_LHS_dn 	*[GI Texture] : T_Rock_CliffVolcanic_E_gi 	*[Normal] : T_LV_BurningSands_Rock_Basilisk_no 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock02_LHS1_dn16.uasset, *[weather Tex] : weather_m 	*[Albedo] : T_Neutral_Crater_A_Big_01_LHS_dn 	*[GI Texture] : T_Rock_CliffVolcanic_E_gi 	*[Normal] : T_Ork06_CY_1_no 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock02_LHS1_dn2.uasset, *[Albedo] : DesertDustyRocks_basecolor 	*[GI Texture] : T_Rock_CliffVolcanic_A_gi 	*[Normal] : DesertDustyRocks_normal 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock02_LHS1_dn3.uasset, *[Albedo] : DesertDustyRocks_basecolor 	*[GI Texture] : T_Rock_CliffVolcanic_C_gi 	*[Normal] : DesertDustyRocks_normal 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock02_LHS1_dn4.uasset, *[Albedo] : T_Neutral_Crater_A_Big_01_LHS_dn 	*[GI Texture] : T_Rock_CliffVolcanic_E_gi 	*[Normal] : T_LV_BurningSands_Rock_Basilisk_no 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock02_LHS1_dn5.uasset, *[Albedo] : DesertDustyRocks_basecolor 	*[GI Texture] : T_Rock_CliffVolcanic_E_gi 	*[Normal] : DesertDustyRocks_normal 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock02_LHS1_dn6.uasset, *[Albedo] : T_Neutral_Crater_A_Big_01_LHS_dn 	*[GI Texture] : T_cm_White_a_01_dn 	*[Normal] : T_LV_BurningSands_Rock_Basilisk_no 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock02_LHS1_dn7.uasset, *[Albedo] : DesertDustyRocks_basecolor 	*[GI Texture] : T_Rock_CliffVolcanic_E_gi 	*[Normal] : DesertDustyRocks_normal 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock02_LHS1_dn8.uasset, *[Albedo] : T_Neutral_Crater_A_Big_01_LHS_dn 	*[GI Texture] : T_cm_White_a_01_dn 	*[Normal] : T_LV_BurningSands_Rock_Basilisk_no 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock02_LHS1_dn9.uasset, *[Albedo] : T_Neutral_Crater_A_Big_01_LHS_dn 	*[GI Texture] : T_cm_White_a_01_dn 	*[Normal] : T_LV_BurningSands_Rock_Basilisk_no 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock02_LHS2_dn.uasset, *[Albedo] : T_Black_Land_Rock00_LHS_dn 	*[GI Texture] : T_Black_Land_Rock02_LHS_li 	*[Normal] : T_Black_Land_Rock00_LHS_no 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock02_LHS2_dn2.uasset, *[Albedo] : DesertDustyRocks_basecolor 	*[GI Texture] : T_Black_Land_Rock02_LHS_li 	*[Normal] : DesertDustyRocks_normal 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock02_LHS_dn.uasset, *[Albedo] : T_Black_Land_Rock03_LHS_dn 	*[GI Texture] : T_Black_Land_Rock02_LHS_li 	*[Normal] : T_Black_Land_Rock03_LHS_no 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock02_LHS_dn_Dark.uasset, *[Mask] : T_Black_Land_Rock02_LHS_me 	*[Normal] : T_Black_Land_Rock02_LHS_no 	*[Albedo] : T_Black_Land_Rock02_LHS_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock03_LHS1_dn.uasset, *[Albedo] : T_Black_Land_Rock03_LHS1_dn 	*[GI Texture] : T_Black_Land_Rock00_LHS_li 	*[Normal] : T_Black_Land_Rock03_LHS1_no 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock03_LHS1_dn2.uasset, *[Mask] : T_Black_Land_Rock03_LHS1_me 	*[Normal] : T_Black_Land_Rock03_LHS1_no 	*[Albedo] : T_Black_Land_Rock03_LHS1_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock03_LHS_dn.uasset, *[Albedo] : T_Black_Land_Rock03_LHS_dn 	*[GI Texture] : T_Black_Land_Rock00_LHS_li 	*[Normal] : T_Black_Land_Rock03_LHS_no 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock03_LHS_dn_Dark.uasset, *[Albedo] : T_Black_Land_Rock03_LHS_dn 	*[GI Texture] : T_Black_Land_Rock00_LHS_li 	*[Normal] : T_Black_Land_Rock03_LHS_no 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock04_LHS1_dn.uasset, *[Mask] : mask_0_1_1 	*[Normal] : T_Black_Land_Rock04_LHS1_no 	*[Albedo] : T_Black_Land_Rock04_LHS1_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock04_LHS1_dn2.uasset, *[Mask] : T_Black_Land_Rock03_LHS_me 	*[Normal] : T_Black_Land_Rock04_LHS1_no 	*[Albedo] : T_Black_Land_Rock04_LHS1_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock04_LHS1_dn_Dark.uasset, *[Mask] : T_Black_Land_Rock03_LHS_me 	*[Normal] : T_Black_Land_Rock04_LHS1_no 	*[Albedo] : T_Black_Land_Rock04_LHS1_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock04_LHS_D2.uasset, *[Albedo] : DesertDustyRocks_basecolor 	*[GI Texture] : T_cm_White_a_01_dn 	*[Normal] : T_Black_Land_Rock04_LHS_no 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock04_LHS_dn.uasset, *[Mask] : mask_0_1_1 	*[Normal] : T_Black_Land_Rock04_LHS_no 	*[Albedo] : T_Black_Land_Rock04_LHS_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock04_LHS_dn2.uasset, *[Mask] : T_Black_Land_Rock03_LHS_me 	*[Normal] : T_Black_Land_Rock04_LHS_no 	*[Albedo] : T_Black_Land_Rock04_LHS_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock05_LHS1_dn.uasset, *[Mask] : mask_0_1_1 	*[Normal] : T_Black_Land_Rock05_LHS1_no 	*[Albedo] : T_Black_Land_Rock05_LHS1_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock05_LHS1_dn_Dark.uasset, *[Mask] : T_Black_Land_Rock05_LHS_ME 	*[Normal] : T_Black_Land_Rock05_LHS1_no 	*[Albedo] : T_Black_Land_Rock05_LHS1_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock05_LHS_dn.uasset, *[Mask] : mask_0_1_1 	*[Normal] : T_Black_Land_Rock05_LHS_no 	*[Albedo] : T_Black_Land_Rock05_LHS_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock05_LHS_dn1.uasset, *[Albedo] : T_Neutral_Crater_A_Big_01_LHS_dn 	*[GI Texture] : T_Rock_CliffVolcanic_C_gi 	*[Normal] : T_LV_BurningSands_Rock_Basilisk_no 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock06_LHS_D.uasset, *[Mask] : mask_0_1_1 	*[Normal] : T_Black_Land_Rock06_LHS_N 	*[Albedo] : T_Black_Land_Rock06_LHS_D 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock06_LHS_D1.uasset, *[Mask] : mask_0_1_1 	*[Normal] : T_Black_Land_Rock06_LHS_N 	*[Albedo] : T_Black_Land_Rock06_LHS_D 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock06_LHS_D2.uasset, *[Mask] : T_Black_Land_Rock06_LHS_ME 	*[Normal] : T_Black_Land_Rock06_LHS_N 	*[Albedo] : T_Black_Land_Rock06_LHS_D 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock06_LHS_D3.uasset, *[Mask] : T_Black_Land_Rock06_LHS_ME 	*[Normal] : T_Black_Land_Rock06_LHS_N 	*[Albedo] : T_Black_Land_Rock06_LHS_D 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock07_LHS1_dn.uasset, *[Albedo] : T_Black_Land_Rock00_LHS_dn 	*[GI Texture] : T_Black_Land_Rock07_LHS_li 	*[Normal] : T_Black_Land_Rock00_LHS_no 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock07_LHS1_dn2.uasset, *[Mask] : T_Black_Land_Rock07_LHS1_me 	*[Normal] : T_Black_Land_Rock07_LHS1_no 	*[Albedo] : T_Black_Land_Rock07_LHS1_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock07_LHS_D2.uasset, *[Albedo] : DesertDustyRocks_basecolor 	*[GI Texture] : T_Black_Land_Rock07_LHS_li 	*[Normal] : T_Black_Land_Rock07_LHS_no 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock07_LHS_dn.uasset, *[Albedo] : T_Black_Land_Rock07_LHS_dn 	*[GI Texture] : T_Black_Land_Rock07_LHS_li 	*[Normal] : T_Black_Land_Rock07_LHS_no 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock07_LHS_dn2.uasset, *[Mask] : T_Black_Land_Rock07_LHS_me 	*[Normal] : T_Black_Land_Rock07_LHS_no 	*[Albedo] : T_Black_Land_Rock07_LHS_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock07_LHS_dn_Dark.uasset, *[Mask] : T_Black_Land_Rock07_LHS_me 	*[Normal] : T_Black_Land_Rock07_LHS_no 	*[Albedo] : T_Black_Land_Rock07_LHS_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock08_LHS_Dark.uasset, *[Mask] : T_Black_Land_Rock08_LHS_me 	*[Normal] : T_Black_Land_Rock08_LHS_no 	*[Albedo] : T_Black_Land_Rock08_LHS_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock08_LHS_dn.uasset, *[Mask] : mask_0_1_1 	*[Normal] : T_Black_Land_Rock08_LHS_no 	*[Albedo] : T_Black_Land_Rock08_LHS_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock09_LHS_Dark.uasset, *[Mask] : T_Black_Land_Rock09_LHS_me 	*[Normal] : T_Black_Land_Rock09_LHS_no 	*[Albedo] : T_Black_Land_Rock09_LHS_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock09_LHS_dn.uasset, *[Mask] : mask_0_1_1 	*[Normal] : T_Black_Land_Rock09_LHS_no 	*[Albedo] : T_Black_Land_Rock09_LHS_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock09_LHS_dn1.uasset, *[Mask] : mask_0_1_1 	*[Normal] : T_Black_Land_Rock09_LHS_no 	*[Albedo] : T_Black_Land_Rock09_LHS_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Rock09_LHS_dn2.uasset, *[Mask] : mask_0_1_1 	*[Normal] : T_Black_Land_Rock09_LHS_no 	*[Albedo] : T_Black_Land_Rock09_LHS_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_F01_Black_Land_Rock02_Dark.uasset, *[Albedo] : T_Neutral_Crater_A_Big_01_LHS_dn 	*[GI Texture] : T_Rock_CliffVolcanic_A_gi 	*[Normal] : T_LV_BurningSands_Rock_Basilisk_no 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_F01_Black_Land_Rock02_dn01.uasset, *[Albedo] : T_Neutral_Crater_A_Big_01_LHS_dn 	*[GI Texture] : T_Rock_CliffVolcanic_A_gi 	*[Normal] : T_LV_BurningSands_Rock_Basilisk_no 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_F01_Black_Land_Rock02_dn02.uasset, *[Albedo] : DesertDustyRocks_basecolor 	*[GI Texture] : T_Rock_CliffVolcanic_A_gi 	*[Normal] : DesertDustyRocks_normal 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_F01_Black_Land_Rock02_dn03.uasset, *[Albedo] : DesertDustyRocks_basecolor 	*[GI Texture] : T_Rock_CliffVolcanic_A_gi 	*[Normal] : DesertDustyRocks_normal 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_F01_Black_Land_Rock05_dn01.uasset, *[Albedo] : DesertDustyRocks_basecolor 	*[GI Texture] : T_Rock_CliffVolcanic_C_gi 	*[Normal] : DesertDustyRocks_normal 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_F01_Black_Land_Rock05_dn02.uasset, *[Albedo] : T_Neutral_Crater_A_Big_01_LHS_dn 	*[GI Texture] : T_Rock_CliffVolcanic_C_gi 	*[Normal] : T_LV_BurningSands_Rock_Basilisk_no 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_F01_Black_Land_Rock05_dn03.uasset, *[Albedo] : DesertDustyRocks_basecolor 	*[GI Texture] : T_Rock_CliffVolcanic_C_gi 	*[Normal] : DesertDustyRocks_normal 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_LV_MagosBasin_Object_DevilTowerA01_SM_KJH_dn.uasset, *[Normal] : T_LV_MagosBasin_Object_DevilTowerA01_SM_KJH_no 	*[Albedo] : T_LV_MagosBasin_Object_DevilTowerA01_SM_KJH_dn 	*[Mask] : T_LV_MagosBasin_Object_DevilTowerA01_SM_KJH_me 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Succubus01_CY_dn.uasset, *[Normal] : T_Succubus01_CY_no 	*[Albedo] : T_Succubus01_CY_dn 	*[Mask] : T_Succubus01_CY_me 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Succubus02_CY_dn.uasset, *[Normal] : T_Succubus02_CY_no 	*[Albedo] : T_Succubus02_CY_dn 	*[Mask] : T_Succubus02_CY_me 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Succubus03_CY_dn.uasset, *[Normal] : T_Succubus03_CY_no 	*[Albedo] : T_Succubus03_CY_dn 	*[Mask] : T_Succubus03_CY_me 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Succubus04_CY_dn.uasset, *[Normal] : T_Succubus04_CY_no 	*[Albedo] : T_Succubus04_CY_dn 	*[Mask] : T_Succubus04_CY_me 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Common/Material/DLV_Dungeon_Object_PortalSet02_MISK_KJY.uasset, *[Normal] : LV_Dungeon_Object_Portal02_N_KJY 	*[Albedo] : LV_Dungeon_Object_Portal02_D_KJY 	*[Mask] : LV_Dungeon_Object_Portal02_D_KJY 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Common/Material/DLV_Dungeon_Object_PortalSet_MISK_KJY.uasset, *[Mask] : mask_0_1_1 	*[Normal] : LV_Dungeon_Object_Portal01_N_KJY 	*[Albedo] : LV_Dungeon_Object_Portal01_D_KJY 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Common/Material/LV_Rustica_Foliage_FeildGrass01_MP_PYO.uasset, *[Normal] : LV_BlackForest_Foliage_Weed01_N_HMJ 	*[Albedo] : LV_BlackForest_Foliage_Weed01_D_HMJ 	*[Mask] : LV_BlackForest_Foliage_Weed01_ME_LHS 	
